Year,County Code,County Name,Disposition Code,Type of Disposition,Deaths,Percent
2011,30,Jefferson,0,Total,893,100.0%
2003,1,New York State,0,Total,155015,100.0%
2003,1,New York State,1,Burial,107542,69.4%
2003,1,New York State,2,Cremation,38459,24.8%
2003,1,New York State,3,Other/Unknown,9014,5.8%
2003,2,New York City,0,Total,57917,100.0%
2003,2,New York City,1,Burial,42618,73.6%
2003,2,New York City,2,Cremation,12097,20.9%
2003,2,New York City,3,Other/Unknown,3202,5.5%
2003,3,Bronx,0,Total,10090,100.0%
2003,3,Bronx,1,Burial,7259,71.9%
2003,3,Bronx,2,Cremation,2088,20.7%
2003,3,Bronx,3,Other/Unknown,743,7.4%
2003,4,Kings,0,Total,17787,100.0%
2003,4,Kings,1,Burial,14273,80.2%
2003,4,Kings,2,Cremation,2736,15.4%
2003,4,Kings,3,Other/Unknown,778,4.4%
2003,5,New York,0,Total,11083,100.0%
2003,5,New York,1,Burial,6787,61.2%
2003,5,New York,2,Cremation,3539,31.9%
2003,5,New York,3,Other/Unknown,757,6.8%
2003,6,Queens,0,Total,15399,100.0%
2003,6,Queens,1,Burial,11644,75.6%
2003,6,Queens,2,Cremation,3032,19.7%
2003,6,Queens,3,Other/Unknown,723,4.7%
2003,7,Richmond,0,Total,3558,100.0%
2003,7,Richmond,1,Burial,2655,74.6%
2003,7,Richmond,2,Cremation,702,19.7%
2003,7,Richmond,3,Other/Unknown,201,5.6%
2003,8,Rest of State,0,Total,97098,100.0%
2003,8,Rest of State,1,Burial,64924,66.9%
2003,8,Rest of State,2,Cremation,26362,27.1%
2003,8,Rest of State,3,Other/Unknown,5812,6.0%
2003,9,Albany,0,Total,2848,100.0%
2003,9,Albany,1,Burial,2092,73.5%
2003,9,Albany,2,Cremation,629,22.1%
2003,9,Albany,3,Other/Unknown,127,4.5%
2003,10,Allegany,0,Total,484,100.0%
2003,10,Allegany,1,Burial,320,66.1%
2003,10,Allegany,2,Cremation,136,28.1%
2003,10,Allegany,3,Other/Unknown,28,5.8%
2003,11,Broome,0,Total,2064,100.0%
2003,11,Broome,1,Burial,1261,61.1%
2003,11,Broome,2,Cremation,611,29.6%
2003,11,Broome,3,Other/Unknown,192,9.3%
2003,12,Cattaraugus,0,Total,838,100.0%
2003,12,Cattaraugus,1,Burial,530,63.2%
2003,12,Cattaraugus,2,Cremation,252,30.1%
2003,12,Cattaraugus,3,Other/Unknown,56,6.7%
2003,13,Cayuga,0,Total,778,100.0%
2003,13,Cayuga,1,Burial,482,62.0%
2003,13,Cayuga,2,Cremation,209,26.9%
2003,13,Cayuga,3,Other/Unknown,87,11.2%
2003,14,Chautauqua,0,Total,1478,100.0%
2003,14,Chautauqua,1,Burial,913,61.8%
2003,14,Chautauqua,2,Cremation,399,27.0%
2003,14,Chautauqua,3,Other/Unknown,166,11.2%
2003,15,Chemung,0,Total,939,100.0%
2003,15,Chemung,1,Burial,604,64.3%
2003,15,Chemung,2,Cremation,276,29.4%
2003,15,Chemung,3,Other/Unknown,59,6.3%
2003,16,Chenango,0,Total,535,100.0%
2003,16,Chenango,1,Burial,276,51.6%
2003,16,Chenango,2,Cremation,207,38.7%
2003,16,Chenango,3,Other/Unknown,52,9.7%
2003,17,Clinton,0,Total,648,100.0%
2003,17,Clinton,1,Burial,395,61.0%
2003,17,Clinton,2,Cremation,197,30.4%
2003,17,Clinton,3,Other/Unknown,56,8.6%
2003,18,Columbia,0,Total,658,100.0%
2003,18,Columbia,1,Burial,362,55.0%
2003,18,Columbia,2,Cremation,224,34.0%
2003,18,Columbia,3,Other/Unknown,72,10.9%
2003,19,Cortland,0,Total,450,100.0%
2003,19,Cortland,1,Burial,269,59.8%
2003,19,Cortland,2,Cremation,154,34.2%
2003,19,Cortland,3,Other/Unknown,27,6.0%
2003,20,Delaware,0,Total,531,100.0%
2003,20,Delaware,1,Burial,302,56.9%
2003,20,Delaware,2,Cremation,197,37.1%
2003,20,Delaware,3,Other/Unknown,32,6.0%
2003,21,Dutchess,0,Total,2197,100.0%
2003,21,Dutchess,1,Burial,1332,60.6%
2003,21,Dutchess,2,Cremation,658,29.9%
2003,21,Dutchess,3,Other/Unknown,207,9.4%
2003,22,Erie,0,Total,9987,100.0%
2003,22,Erie,1,Burial,6043,60.5%
2003,22,Erie,2,Cremation,3340,33.4%
2003,22,Erie,3,Other/Unknown,604,6.0%
2003,23,Essex,0,Total,384,100.0%
2003,23,Essex,1,Burial,185,48.2%
2003,23,Essex,2,Cremation,145,37.8%
2003,23,Essex,3,Other/Unknown,54,14.1%
2003,24,Franklin,0,Total,428,100.0%
2003,24,Franklin,1,Burial,258,60.3%
2003,24,Franklin,2,Cremation,129,30.1%
2003,24,Franklin,3,Other/Unknown,41,9.6%
2003,25,Fulton,0,Total,577,100.0%
2003,25,Fulton,1,Burial,369,64.0%
2003,25,Fulton,2,Cremation,153,26.5%
2003,25,Fulton,3,Other/Unknown,55,9.5%
2003,26,Genesee,0,Total,605,100.0%
2003,26,Genesee,1,Burial,412,68.1%
2003,26,Genesee,2,Cremation,168,27.8%
2003,26,Genesee,3,Other/Unknown,25,4.1%
2003,27,Greene,0,Total,557,100.0%
2003,27,Greene,1,Burial,329,59.1%
2003,27,Greene,2,Cremation,196,35.2%
2003,27,Greene,3,Other/Unknown,32,5.7%
2003,28,Hamilton,0,Total,55,100.0%
2003,28,Hamilton,1,Burial,25,45.5%
2003,28,Hamilton,2,Cremation,26,47.3%
2003,28,Hamilton,3,Other/Unknown,4,7.3%
2003,29,Herkimer,0,Total,765,100.0%
2003,29,Herkimer,1,Burial,457,59.7%
2003,29,Herkimer,2,Cremation,225,29.4%
2003,29,Herkimer,3,Other/Unknown,83,10.8%
2003,30,Jefferson,0,Total,851,100.0%
2003,30,Jefferson,1,Burial,446,52.4%
2003,30,Jefferson,2,Cremation,363,42.7%
2003,30,Jefferson,3,Other/Unknown,42,4.9%
2003,31,Lewis,0,Total,233,100.0%
2003,31,Lewis,1,Burial,158,67.8%
2003,31,Lewis,2,Cremation,65,27.9%
2003,31,Lewis,3,Other/Unknown,10,4.3%
2003,32,Livingston,0,Total,511,100.0%
2003,32,Livingston,1,Burial,335,65.6%
2003,32,Livingston,2,Cremation,157,30.7%
2003,32,Livingston,3,Other/Unknown,19,3.7%
2003,33,Madison,0,Total,585,100.0%
2003,33,Madison,1,Burial,344,58.8%
2003,33,Madison,2,Cremation,193,33.0%
2003,33,Madison,3,Other/Unknown,48,8.2%
2003,34,Monroe,0,Total,6390,100.0%
2003,34,Monroe,1,Burial,4186,65.5%
2003,34,Monroe,2,Cremation,1970,30.8%
2003,34,Monroe,3,Other/Unknown,234,3.7%
2003,35,Montgomery,0,Total,669,100.0%
2003,35,Montgomery,1,Burial,466,69.7%
2003,35,Montgomery,2,Cremation,147,22.0%
2003,35,Montgomery,3,Other/Unknown,56,8.4%
2003,36,Nassau,0,Total,11036,100.0%
2003,36,Nassau,1,Burial,8773,79.5%
2003,36,Nassau,2,Cremation,1911,17.3%
2003,36,Nassau,3,Other/Unknown,352,3.2%
2003,37,Niagara,0,Total,2347,100.0%
2003,37,Niagara,1,Burial,1484,63.2%
2003,37,Niagara,2,Cremation,697,29.7%
2003,37,Niagara,3,Other/Unknown,166,7.1%
2003,38,Oneida,0,Total,2521,100.0%
2003,38,Oneida,1,Burial,1818,72.1%
2003,38,Oneida,2,Cremation,570,22.6%
2003,38,Oneida,3,Other/Unknown,133,5.3%
2003,39,Onondaga,0,Total,4019,100.0%
2003,39,Onondaga,1,Burial,2706,67.3%
2003,39,Onondaga,2,Cremation,1092,27.2%
2003,39,Onondaga,3,Other/Unknown,221,5.5%
2003,40,Ontario,0,Total,879,100.0%
2003,40,Ontario,1,Burial,461,52.4%
2003,40,Ontario,2,Cremation,373,42.4%
2003,40,Ontario,3,Other/Unknown,45,5.1%
2003,41,Orange,0,Total,2505,100.0%
2003,41,Orange,1,Burial,1651,65.9%
2003,41,Orange,2,Cremation,725,28.9%
2003,41,Orange,3,Other/Unknown,129,5.1%
2003,42,Orleans,0,Total,377,100.0%
2003,42,Orleans,1,Burial,247,65.5%
2003,42,Orleans,2,Cremation,113,30.0%
2003,42,Orleans,3,Other/Unknown,17,4.5%
2003,43,Oswego,0,Total,1068,100.0%
2003,43,Oswego,1,Burial,681,63.8%
2003,43,Oswego,2,Cremation,329,30.8%
2003,43,Oswego,3,Other/Unknown,58,5.4%
2003,44,Otsego,0,Total,629,100.0%
2003,44,Otsego,1,Burial,290,46.1%
2003,44,Otsego,2,Cremation,288,45.8%
2003,44,Otsego,3,Other/Unknown,51,8.1%
2003,45,Putnam,0,Total,592,100.0%
2003,45,Putnam,1,Burial,374,63.2%
2003,45,Putnam,2,Cremation,164,27.7%
2003,45,Putnam,3,Other/Unknown,54,9.1%
2003,46,Rensselaer,0,Total,1378,100.0%
2003,46,Rensselaer,1,Burial,909,66.0%
2003,46,Rensselaer,2,Cremation,315,22.9%
2003,46,Rensselaer,3,Other/Unknown,154,11.2%
2003,47,Rockland,0,Total,2123,100.0%
2003,47,Rockland,1,Burial,1625,76.5%
2003,47,Rockland,2,Cremation,363,17.1%
2003,47,Rockland,3,Other/Unknown,135,6.4%
2003,48,St Lawrence,0,Total,1020,100.0%
2003,48,St Lawrence,1,Burial,629,61.7%
2003,48,St Lawrence,2,Cremation,286,28.0%
2003,48,St Lawrence,3,Other/Unknown,105,10.3%
2003,49,Saratoga,0,Total,1435,100.0%
2003,49,Saratoga,1,Burial,895,62.4%
2003,49,Saratoga,2,Cremation,419,29.2%
2003,49,Saratoga,3,Other/Unknown,121,8.4%
2003,50,Schenectady,0,Total,1590,100.0%
2003,50,Schenectady,1,Burial,1072,67.4%
2003,50,Schenectady,2,Cremation,386,24.3%
2003,50,Schenectady,3,Other/Unknown,132,8.3%
2003,51,Schoharie,0,Total,284,100.0%
