id,latitude,longitude,name,type,color
1,42.65337,-73.773834,Albany Medical Center Hospital,HOSP,FACB1E
2,42.645485,-73.77829,Albany Medical Center - South Clinical Campus,HOSP,FACB1E
3,42.674271,-73.749268,Albany Memorial Hospital,HOSP,FACB1E
4,42.657539,-73.803879,St Peters Hospital,HOSP,FACB1E
5,42.641979,-73.75441,Albany County Health Dept,DTC,F18FFD
6,42.656338,-73.805016,"Center for Disability Services, Inc.",DTC,F18FFD
7,42.680267,-73.790146,Upper Hudson Planned Parenthood Inc,DTC,F18FFD
8,42.662682,-73.748375,Whitney M Young Jr Health Center Inc,DTC,F18FFD
9,43.450497,-76.490562,Oswego Hospital - Alvin L Krakau Comm Mtl Health Center Div,HOSP,FACB1E
10,42.6525,-73.756599,GHI-Family Dental Practice,DTC-EC,7E7D72
11,42.653301,-73.805016,St. Peter's Nursing And Rehabilitation Center,NH,A887B8
12,42.645485,-73.77829,St Margarets Center,NH,A887B8
13,42.670933,-73.753693,Hudson Park Rehabilitation and Nursing Center,NH,A887B8
14,42.699898,-73.851563,Daughters of Sarah Nursing Center,NH,A887B8
15,42.702076,-73.854187,Teresian House Nursing Home Co Inc,NH,A887B8
17,42.625923,-73.802002,Bethlehem Commons Care Center,NH,A887B8
18,42.747261,-73.817245,Albany County Nursing Home,NH,A887B8
19,42.7012019,-73.9630661,Guilderland Center Rehabilitation and Extended Care Facility,NH,A887B8
20,42.224958,-78.033314,Allegany County Department of Health,DTC,F18FFD
21,42.213474,-78.287506,Cuba Memorial Hospital Inc,,B0A150
22,42.213474,-78.287506,Cuba Memorial Hospital Inc SNF,NH,A887B8
23,42.122921,-77.949974,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,HOSP,FACB1E
24,42.123119,-77.96125,Highland Park Rehabilitation and Nursing Center,NH,A887B8
25,42.088062,-75.91423,United Health Services Hospitals Inc. - Binghamton General Hospital,HOSP,FACB1E
26,42.092606,-75.935646,Our Lady of Lourdes Memorial Hospital Inc,HOSP,FACB1E
27,42.105343,-75.915642,Broome County Health Dept,DTC,F18FFD
28,42.098,-75.907578,"Family Planning of South Central New York, Inc. at Binghamton",DTC-EC,7E7D72
29,42.114964,-75.95607,UCPA of NYS-Handicapped Childrens,DTC,F18FFD
30,42.118538,-75.90686,Elizabeth Church Manor Nursing Home,NH,A887B8
31,42.110928,-75.876694,Good Shepherd-Fairview Home Inc,NH,A887B8
32,42.100979,-75.916901,"Bridgewater Center for Rehabilitation & Nursing, LLC",NH,A887B8
33,42.112522,-76.056824,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC",NH,A887B8
34,42.115063,-75.959122,United Health Services Hospitals Inc. - Wilson Medical Center,HOSP,FACB1E
35,42.091839,-76.067696,Ideal Senior Living Center,NH,A887B8
36,42.10033,-75.958817,"Susquehanna Nursing & Rehabilitation Center, LLC",NH,A887B8
37,42.100857,-75.985847,Willow Point Rehabilitation and Nursing Center,NH,A887B8
38,42.089844,-78.42688,Olean General Hospital,HOSP,FACB1E
39,42.086971,-78.450386,Cattaraugus County Department of Health,DTC,F18FFD
40,42.077087,-78.457413,The Pines Healthcare & Rehabilitation Centers Olean Campus,NH,A887B8
41,42.094631,-78.489937,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC",NH,A887B8
42,42.157581,-78.732101,"Absolut Center for Nursing and Rehabilitation at Salamanca, LLC",NH,A887B8
43,42.425858,-78.488762,The Pines Healthcare & Rehabilitation Centers  Machias Campus,NH,A887B8
44,42.940811,-76.564758,Auburn Community Hospital,HOSP,FACB1E
45,42.944103,-76.566963,E John Gavras Center,DTC,F18FFD
46,42.929897,-76.569794,Cayuga County Department of Health,DTC,F18FFD
47,42.934586,-76.559364,Summit Pediatrics,DTC-EC,7E7D72
48,42.913609,-76.579185,Auburn Rehabilitation & Nursing Center,NH,A887B8
49,42.917961,-76.581459,"The Commons on St. Anthony Street, A Loretto Skilled Nursing Community",NH,A887B8
50,42.714851,-76.422775,Northwoods Rehabilitation and Nursing Center at Moravia,NH,A887B8
51,40.85696,-73.401199,Huntington Artificial Kidney Center Ltd,DTC,F18FFD
52,42.480774,-79.33387,Brooks Memorial Hospital,HOSP,FACB1E
53,42.474426,-79.362961,Chautauqua Nursing and Rehabilitation Center,NH,A887B8
54,42.091541,-79.245094,Womans Christian Assoc Hospital - WCA Hosp at Jones Memorial Health Center,HOSP,FACB1E
55,42.091236,-79.232872,Woman's Christian Association,HOSP,FACB1E
56,42.090252,-79.238281,Heritage Park Health Care Center,NH,A887B8
57,42.114246,-79.209785,Lutheran Retirement Home,NH,A887B8
58,42.254534,-79.50544,Chautauqua County Health Dept,DTC,F18FFD
59,42.327965,-79.569412,Westfield Memorial Hospital Inc,HOSP,FACB1E
60,42.196171,-79.251938,"Heritage Village Rehab and Skilled Nursing, Inc.",NH,A887B8
61,42.559372,-79.126991,TLC Health Network Lake Shore Hospital,HOSP,FACB1E
62,42.099285,-76.826782,Arnot Ogden Medical Center,HOSP,FACB1E
63,42.091446,-76.79686,St Josephs Hospital,HOSP,FACB1E
64,42.091446,-76.79686,St Josephs Hospital - Skilled Nursing Facility,NH,A887B8
65,42.093357,-76.796593,Chemung County Health Dept,DTC,F18FFD
66,42.093357,-76.796593,Chemung County Health Center-Nursing Facility,NH,A887B8
67,42.162086,-76.854225,Elcor Nursing and Rehabilitation Center,NH,A887B8
68,42.6329,-75.316498,ChaseHealth Rehab and Residential Care,NH,A887B8
69,42.541813,-75.524773,Chenango Memorial Hospital Inc,HOSP,FACB1E
70,42.541813,-75.524773,Chenango Memorial Hospital Inc SNF,NH,A887B8
71,42.531345,-75.525162,Chenango County Department of Public Health,DTC,F18FFD
72,42.534866,-75.512817,Valley View Manor Nursing Home,NH,A887B8
73,42.450512,-75.605316,NYS Veterans Home,NH,A887B8
74,44.700279,-73.466751,The University of Vermont Health Network - Champlain Valley Physicians Hospital,HOSP,FACB1E
75,44.700279,-73.466751,Champlain Valley Physicians Hospital Medical Center SNF,NH,A887B8
76,44.698658,-73.453064,Clinton County Health Dept,DTC,F18FFD
77,44.696861,-73.457047,"Planned Parenthood of the North Country, New York, Inc. - Plattsburgh",DTC-EC,7E7D72
79,44.682777,-73.460121,Plattsburgh Rehabilitation and Nursing Center,NH,A887B8
80,44.703545,-73.473961,Meadowbrook Healthcare,NH,A887B8
81,44.680717,-73.456497,Clinton County Nursing Home,NH,A887B8
82,42.246239,-73.776306,Columbia Memorial Hospital,HOSP,FACB1E
83,42.253094,-73.789764,Columbia County Health Department,DTC,F18FFD
84,42.255623,-73.77739,FASNY Firemen's Home,NH,A887B8
85,42.248978,-73.649857,Pine Haven Home,NH,A887B8
86,42.41798,-73.675468,Barnwell Nursing & Rehabilitation Center,NH,A887B8
87,42.139454,-73.784914,Livingston Hills Nursing and Rehabilitation Center,NH,A887B8
88,42.609051,-76.186195,Cortland Regional Medical Center Inc,HOSP,FACB1E
89,42.6003,-76.176697,Cortland County Department of Health,DTC,F18FFD
90,42.611557,-76.164902,Cortland Park Rehabilitation and Nursing Center,NH,A887B8
91,42.595219,-76.160072,Crown Park Rehabilitation and Nursing Center,NH,A887B8
92,43.092171,-77.582054,Lifetime Care/Hospice of Rochester/Hospice of Wayne&Seneca Counties,HSPC,B186FF
93,42.269238,-74.91555,O'Connor Hospital,,B0A150
94,42.41177,-74.598083,Robinson Terrace,NH,A887B8
95,42.147694,-74.643089,Margaretville Hospital,,B0A150
96,42.147366,-74.641708,Mountainside Residential Care Center,NH,A887B8
97,42.165611,-75.12812,Delaware Valley Hospital Inc,,B0A150
98,41.717392,-73.92942,Mid-Hudson Valley Division of Westchester Medical Center,HOSP,FACB1E
99,41.694523,-73.935799,Vassar Brothers Medical Center,HOSP,FACB1E
100,41.703957,-73.922379,Department of Behavioral and Community Health,DTC,F18FFD
101,41.701019,-73.929726,"Planned Parenthood of the Mid-Hudson Valley, Inc.",DTC,F18FFD
102,41.695976,-73.929611,The Pines at Poughkeepsie Center for Nursing & Rehabilitation,NH,A887B8
103,41.574398,-73.591888,The Grand Rehabilitation and Nursing at Pawling,NH,A887B8
104,41.594684,-73.917656,Elant at Wappingers Falls,NH,A887B8
105,41.934223,-73.912331,Northern Dutchess Hospital,HOSP,FACB1E
106,41.934959,-73.911369,"Northern Dutchess Res Health Care Facility, Inc",NH,A887B8
107,41.941833,-73.935341,Ferncliff Nursing Home Co Inc,NH,A887B8
108,41.926517,-73.892136,The Baptist Home at Brookmeade,NH,A887B8
109,41.521412,-73.972733,"Elant at Fishkill, Inc.",NH,A887B8
110,41.795429,-73.865288,Quaker Hill Manor,NH,A887B8
111,41.83255,-73.93364,Renaissance Rehabilitation and Nursing Care Center,NH,A887B8
112,42.097095,-75.975243,Hospice at Lourdes,HSPC,B186FF
113,42.900394,-78.865707,Buffalo General Medical Center,HOSP,FACB1E
114,42.908955,-78.875404,Women And Children's Hospital Of Buffalo,HOSP,FACB1E
115,42.92717,-78.829224,Erie County Medical Center,HOSP,FACB1E
116,42.84853,-78.812859,Mercy Hospital of Buffalo,HOSP,FACB1E
117,42.827366,-78.820946,Mercy Hospital Skilled Nursing Facility,NH,A887B8
118,42.898525,-78.865013,Roswell Park Cancer Institute,HOSP,FACB1E
119,42.92905,-78.849953,Sisters of Charity Hospital,HOSP,FACB1E
120,42.909561,-78.870934,Hemophilia Center of Western New York Inc,DTC,F18FFD
121,42.931553,-78.774704,"Aspire of Western New York, Inc.",DTC,F18FFD
122,42.940647,-78.837456,"Planned Parenthood of Central and Western New York, Inc.",DTC,F18FFD
