id,latitude,longitude,name,type,color
1,42.65337,-73.773834,Albany Medical Center Hospital,HOSP,800000
2,42.645485,-73.77829,Albany Medical Center - South Clinical Campus,HOSP,800000
3,42.674271,-73.749268,Albany Memorial Hospital,HOSP,800000
4,42.657539,-73.803879,St Peters Hospital,HOSP,800000
5,42.641979,-73.75441,Albany County Health Dept,DTC,e6194b
6,42.656338,-73.805016,"Center for Disability Services, Inc.",DTC,e6194b
7,42.680267,-73.790146,Upper Hudson Planned Parenthood Inc,DTC,e6194b
8,42.662682,-73.748375,Whitney M Young Jr Health Center Inc,DTC,e6194b
9,43.450497,-76.490562,Oswego Hospital - Alvin L Krakau Comm Mtl Health Center Div,HOSP,800000
10,42.6525,-73.756599,GHI-Family Dental Practice,DTC-EC,f58231
11,42.653301,-73.805016,St. Peter's Nursing And Rehabilitation Center,NH,ffe119
12,42.645485,-73.77829,St Margarets Center,NH,ffe119
13,42.670933,-73.753693,Hudson Park Rehabilitation and Nursing Center,NH,ffe119
14,42.699898,-73.851563,Daughters of Sarah Nursing Center,NH,ffe119
15,42.702076,-73.854187,Teresian House Nursing Home Co Inc,NH,ffe119
17,42.625923,-73.802002,Bethlehem Commons Care Center,NH,ffe119
18,42.747261,-73.817245,Albany County Nursing Home,NH,ffe119
19,42.7012019,-73.9630661,Guilderland Center Rehabilitation and Extended Care Facility,NH,ffe119
20,42.224958,-78.033314,Allegany County Department of Health,DTC,e6194b
21,42.213474,-78.287506,Cuba Memorial Hospital Inc,,bcf60c
22,42.213474,-78.287506,Cuba Memorial Hospital Inc SNF,NH,ffe119
23,42.122921,-77.949974,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,HOSP,800000
24,42.123119,-77.96125,Highland Park Rehabilitation and Nursing Center,NH,ffe119
25,42.088062,-75.91423,United Health Services Hospitals Inc. - Binghamton General Hospital,HOSP,800000
26,42.092606,-75.935646,Our Lady of Lourdes Memorial Hospital Inc,HOSP,800000
27,42.105343,-75.915642,Broome County Health Dept,DTC,e6194b
28,42.098,-75.907578,"Family Planning of South Central New York, Inc. at Binghamton",DTC-EC,f58231
29,42.114964,-75.95607,UCPA of NYS-Handicapped Childrens,DTC,e6194b
30,42.118538,-75.90686,Elizabeth Church Manor Nursing Home,NH,ffe119
31,42.110928,-75.876694,Good Shepherd-Fairview Home Inc,NH,ffe119
32,42.100979,-75.916901,"Bridgewater Center for Rehabilitation & Nursing, LLC",NH,ffe119
33,42.112522,-76.056824,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC",NH,ffe119
